EmployeeNumber,Gender,Education,EducationField,Department,JobRole,JobLevel,PerformanceRating,JobInvolvement,JobSatisfaction,RelationshipSatisfaction,EnvironmentSatisfaction,BusinessTravel,OverTime,WorkLifeBalance,MaritalStatus,StockOptionLevel,Age,DistanceFromHome,MonthlyIncome,DailyRate,HourlyRate,MonthlyRate,NumCompaniesWorked,PercentSalaryHike,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Attrition
1,Male,College,Life Sciences,Research & Development,Research Scientist,L1,Medium,Medium,Medium,Very High,Medium,Travel Rarely,Frequently,Better,Married,L1,34,1,3622,254,83,22794,1,13,6,3,6,5,1,3,No
2,Male,Master,Life Sciences,Research & Development,Manufacturing Director,L2,Medium,Medium,Medium,High,Low,Travel Rarely,Never,Best,Divorced,L1,37,1,5993,1115,51,2689,1,18,7,2,7,5,0,7,No
3,Female,College,Life Sciences,Research & Development,Laboratory Technician,L1,Low,Low,Low,Low,Low,Travel Frequently,Never,Better,Divorced,L1,26,1,4364,575,71,5288,3,14,5,2,2,2,2,0,No
4,Female,College,Medical,Research & Development,Research Director,L5,Medium,Medium,Medium,Very High,Medium,Travel Rarely,Frequently,Good,Divorced,L1,50,7,18740,989,43,16701,5,12,29,2,27,3,13,8,No
5,Male,College,Other,Research & Development,Laboratory Technician,L1,Medium,Medium,Medium,Medium,Very High,Travel Rarely,Frequently,Better,Single,L0,37,2,2090,1373,92,2396,6,15,7,3,0,0,0,0,Yes
6,Male,Master,Marketing,Sales,Sales Executive,L4,Very High,Very High,Very High,High,Low,Travel Rarely,Frequently,Good,Single,L0,55,13,13695,267,85,9277,6,17,24,2,19,7,3,8,Yes
7,Male,Bachelor,Life Sciences,Sales,Sales Representative,L1,Very High,Very High,Very High,Low,High,Travel Frequently,Never,Better,Married,L1,31,20,2791,793,67,21981,0,12,3,4,2,2,2,2,No
8,Male,Below College,Life Sciences,Research & Development,Laboratory Technician,L2,High,High,High,Medium,Low,Travel Rarely,Never,Better,Single,L0,23,20,2272,507,97,24812,0,14,5,2,4,3,1,2,No
9,Male,Bachelor,Medical,Sales,Sales Executive,L2,High,High,High,Medium,Medium,Travel Never,Never,Best,Married,L0,28,4,4221,120,43,8863,1,15,5,3,5,4,0,4,No
10,Male,Master,Marketing,Sales,Sales Executive,L3,High,High,High,Low,Low,Travel Rarely,Never,Better,Married,L3,31,16,8161,1079,70,19002,2,13,10,2,1,0,0,0,Yes
11,Female,Master,Marketing,Sales,Manager,L5,High,High,High,Very High,Medium,Travel Rarely,Never,Good,Single,L0,46,2,18947,705,83,22822,3,12,22,2,2,2,2,1,No
12,Male,Bachelor,Marketing,Sales,Sales Executive,L3,High,High,High,Low,Low,Travel Rarely,Never,Best,Divorced,L1,46,9,10096,377,52,15986,4,11,28,1,7,7,4,3,Yes
13,Female,Bachelor,Medical,Sales,Sales Representative,L1,Medium,Medium,Medium,High,Medium,Travel Rarely,Frequently,Better,Divorced,L3,29,1,2800,341,48,23522,6,19,5,3,3,2,0,2,Yes
14,Female,Below College,Life Sciences,Research & Development,Research Director,L5,Low,Low,Low,Medium,Medium,Travel Never,Never,Better,Divorced,L2,41,7,19973,247,55,20284,1,22,21,3,21,16,5,10,No
15,Male,Master,Medical,Sales,Sales Executive,L2,High,High,High,High,Medium,Travel Rarely,Never,Bad,Divorced,L0,31,13,4233,1365,46,11512,2,17,9,2,3,1,1,2,Yes
16,Male,Bachelor,Life Sciences,Research & Development,Research Director,L4,High,High,High,High,Low,Travel Rarely,Never,Bad,Married,L0,46,2,17861,1009,51,2288,6,13,26,2,3,2,0,1,No
