Age,DailyRate,DistanceFromHome,Education,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,HourlyRate,JobInvolvement,JobLevel,JobSatisfaction,MonthlyIncome,MonthlyRate,NumCompaniesWorked,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,index,BusinessTravel,Department,EducationField,Gender,JobRole,MaritalStatus,Over18,OverTime
27.0,1022.0,10.0,3.0,1.0,2069.0,4.0,54.0,4.0,1.0,3.0,3175.0,14791.0,2.0,17.0,3.0,4.0,80.0,1.0,5.0,2.0,3.0,3.0,2.0,2.0,2.0,1074,Travel_Rarely,Research & Development,Life Sciences,Male,Healthcare Representative,Single,Yes,Yes
37.0,336.0,2.0,4.0,1.0,2070.0,2.0,81.0,4.0,2.0,4.0,9853.0,14287.0,0.0,13.0,3.0,4.0,80.0,1.0,16.0,2.0,2.0,14.0,1.0,0.0,8.0,931,Non-Travel,Research & Development,Medical,Female,Manufacturing Director,Single,Yes,Yes
40.0,705.0,2.0,4.0,1.0,2071.0,1.0,55.0,2.0,3.0,3.0,10625.0,16717.0,5.0,13.0,3.0,3.0,80.0,0.0,17.0,2.0,1.0,14.0,1.0,10.0,7.0,985,Travel_Rarely,Research & Development,Medical,Male,Manufacturing Director,Married,Yes,Yes
28.0,1028.0,17.0,2.0,1.0,2072.0,4.0,101.0,3.0,1.0,2.0,3294.0,6102.0,1.0,14.0,3.0,1.0,80.0,1.0,2.0,3.0,1.0,2.0,0.0,0.0,0.0,164,Non-Travel,Research & Development,Medical,Male,Research Scientist,Divorced,Yes,Yes
37.0,730.0,10.0,4.0,1.0,2073.0,4.0,96.0,2.0,2.0,3.0,5784.0,17094.0,1.0,15.0,3.0,2.0,80.0,1.0,9.0,3.0,2.0,8.0,2.0,6.0,7.0,324,Travel_Rarely,Research & Development,Medical,Female,Research Scientist,Married,Yes,No
37.0,519.0,7.0,4.0,1.0,2074.0,1.0,61.0,3.0,3.0,2.0,11834.0,22572.0,0.0,13.0,3.0,3.0,80.0,0.0,13.0,4.0,3.0,12.0,6.0,2.0,10.0,290,Travel_Frequently,Research & Development,Life Sciences,Female,Research Director,Single,Yes,Yes
36.0,887.0,2.0,4.0,1.0,2075.0,3.0,89.0,4.0,2.0,2.0,6155.0,21532.0,1.0,14.0,3.0,1.0,80.0,1.0,7.0,2.0,3.0,6.0,5.0,1.0,2.0,1177,Travel_Rarely,Research & Development,Life Sciences,Female,Research Director,Divorced,Yes,No
31.0,798.0,22.0,1.0,1.0,2076.0,2.0,46.0,2.0,2.0,3.0,4455.0,9453.0,1.0,22.0,4.0,4.0,80.0,1.0,10.0,4.0,3.0,9.0,7.0,4.0,7.0,897,Travel_Rarely,Sales,Life Sciences,Female,Sales Executive,Single,Yes,No
43.0,1466.0,9.0,4.0,1.0,2077.0,4.0,45.0,3.0,1.0,2.0,4522.0,26037.0,7.0,15.0,3.0,4.0,80.0,1.0,4.0,2.0,3.0,2.0,1.0,0.0,0.0,1403,Travel_Rarely,Sales,Marketing,Male,Sales Executive,Single,Yes,No
29.0,750.0,6.0,2.0,1.0,2078.0,2.0,90.0,4.0,2.0,1.0,4857.0,19899.0,1.0,13.0,3.0,4.0,80.0,1.0,7.0,2.0,3.0,6.0,3.0,1.0,5.0,537,Travel_Frequently,Research & Development,Life Sciences,Male,Manufacturing Director,Divorced,Yes,No
45.0,816.0,9.0,2.0,1.0,2079.0,1.0,80.0,3.0,1.0,4.0,4571.0,18129.0,1.0,14.0,3.0,3.0,80.0,0.0,12.0,3.0,3.0,12.0,8.0,4.0,7.0,491,Travel_Frequently,Research & Development,Medical,Male,Laboratory Technician,Divorced,Yes,Yes
32.0,922.0,6.0,3.0,1.0,2080.0,4.0,89.0,3.0,2.0,1.0,8752.0,24592.0,0.0,19.0,3.0,4.0,80.0,0.0,7.0,4.0,3.0,5.0,4.0,1.0,3.0,997,Travel_Rarely,Research & Development,Life Sciences,Female,Research Scientist,Single,Yes,Yes
50.0,1140.0,15.0,4.0,1.0,2081.0,3.0,72.0,3.0,1.0,1.0,3431.0,18195.0,7.0,13.0,3.0,4.0,80.0,1.0,10.0,3.0,2.0,8.0,2.0,6.0,6.0,821,Travel_Rarely,Sales,Technical Degree,Male,Sales Executive,Married,Yes,No
47.0,1268.0,7.0,3.0,1.0,2082.0,1.0,101.0,3.0,3.0,1.0,5913.0,21667.0,1.0,19.0,3.0,1.0,80.0,1.0,23.0,2.0,3.0,23.0,8.0,8.0,10.0,269,Travel_Rarely,Research & Development,Life Sciences,Male,Laboratory Technician,Married,Yes,No
41.0,1386.0,9.0,2.0,1.0,2083.0,3.0,81.0,3.0,1.0,4.0,3363.0,8810.0,1.0,13.0,3.0,3.0,80.0,0.0,3.0,3.0,3.0,3.0,2.0,2.0,1.0,1348,Travel_Rarely,Research & Development,Life Sciences,Male,Manager,Divorced,Yes,No
50.0,786.0,2.0,3.0,1.0,2084.0,4.0,82.0,2.0,4.0,4.0,17307.0,11029.0,6.0,13.0,3.0,3.0,80.0,0.0,24.0,3.0,4.0,2.0,0.0,0.0,0.0,981,Travel_Frequently,Sales,Marketing,Female,Sales Executive,Married,Yes,Yes
27.0,727.0,9.0,1.0,1.0,2085.0,2.0,47.0,3.0,1.0,1.0,3548.0,6995.0,1.0,15.0,3.0,4.0,80.0,1.0,6.0,2.0,4.0,4.0,3.0,0.0,2.0,1080,Travel_Rarely,Sales,Life Sciences,Female,Manager,Married,Yes,No
38.0,1130.0,11.0,2.0,1.0,2086.0,3.0,84.0,2.0,3.0,1.0,9992.0,10633.0,2.0,14.0,3.0,3.0,80.0,1.0,10.0,3.0,3.0,4.0,0.0,2.0,3.0,287,Travel_Rarely,Research & Development,Life Sciences,Male,Healthcare Representative,Divorced,Yes,No
51.0,1101.0,3.0,1.0,1.0,2087.0,2.0,51.0,3.0,4.0,4.0,18089.0,15629.0,3.0,16.0,3.0,4.0,80.0,0.0,26.0,3.0,3.0,5.0,4.0,4.0,3.0,739,Travel_Rarely,Research & Development,Life Sciences,Female,Manufacturing Director,Married,Yes,No
24.0,519.0,20.0,3.0,1.0,2088.0,4.0,47.0,2.0,1.0,2.0,3217.0,12145.0,1.0,14.0,3.0,2.0,80.0,0.0,2.0,3.0,4.0,2.0,0.0,0.0,0.0,241,Non-Travel,Sales,Marketing,Male,Sales Executive,Married,Yes,No
36.0,249.0,7.0,5.0,1.0,2089.0,3.0,52.0,3.0,1.0,3.0,4017.0,14427.0,3.0,21.0,4.0,1.0,80.0,0.0,9.0,2.0,3.0,5.0,4.0,1.0,4.0,589,Travel_Rarely,Research & Development,Life Sciences,Female,Laboratory Technician,Married,Yes,Yes
44.0,378.0,7.0,3.0,1.0,2090.0,4.0,67.0,3.0,1.0,1.0,5486.0,5869.0,2.0,14.0,3.0,3.0,80.0,0.0,19.0,3.0,3.0,17.0,12.0,2.0,15.0,107,Travel_Rarely,Sales,Marketing,Male,Sales Executive,Single,Yes,Yes
53.0,355.0,9.0,3.0,1.0,2091.0,4.0,88.0,3.0,4.0,2.0,18688.0,20645.0,4.0,24.0,4.0,1.0,80.0,1.0,29.0,4.0,2.0,27.0,9.0,10.0,9.0,36,Travel_Rarely,Sales,Marketing,Male,Sales Representative,Married,Yes,Yes
47.0,1390.0,19.0,2.0,1.0,2092.0,3.0,84.0,3.0,3.0,4.0,13145.0,9897.0,0.0,15.0,3.0,2.0,80.0,0.0,20.0,2.0,3.0,19.0,7.0,4.0,9.0,1154,Travel_Rarely,Human Resources,Life Sciences,Female,Manager,Married,Yes,No
30.0,1175.0,8.0,3.0,1.0,2093.0,4.0,48.0,2.0,2.0,1.0,6014.0,5819.0,6.0,18.0,3.0,3.0,80.0,0.0,7.0,2.0,2.0,4.0,3.0,1.0,2.0,237,Non-Travel,Sales,Life Sciences,Male,Manager,Single,Yes,Yes
34.0,1117.0,12.0,3.0,1.0,2094.0,2.0,88.0,3.0,2.0,3.0,7106.0,20978.0,0.0,13.0,3.0,2.0,80.0,0.0,7.0,5.0,3.0,5.0,4.0,4.0,4.0,1096,Travel_Rarely,Human Resources,Medical,Male,Manager,Single,Yes,Yes
